Lambda (nm),transmission
624.5,9.5E-05
625,9.5E-05
625.5,9.5E-05
626,9.5E-05
626.5,9.5E-05
627,9.5E-05
627.5,9.5E-05
628,9.5E-05
628.5,9.5E-05
629,9.5E-05
629.5,9.5E-05
630,0.000100382
630.5,9.5E-05
631,9.5E-05
631.5,9.5E-05
632,9.5E-05
632.5,9.5E-05
633,9.5E-05
633.5,0.000103223
634,0.000115303
634.5,0.000126423
635,0.000124787
635.5,9.5E-05
636,9.5E-05
636.5,9.5E-05
637,9.5E-05
637.5,9.5E-05
638,9.5E-05
638.5,9.5E-05
639,9.5E-05
639.5,9.5E-05
640,9.5E-05
640.5,9.5E-05
641,9.5E-05
641.5,9.5E-05
642,9.5E-05
642.5,9.5E-05
643,0.000131921
643.5,0.000199909
644,0.000249583
644.5,0.000280211
645,0.000271696
645.5,0.000228783
646,0.000198103
646.5,0.000151704
647,0.000121161
647.5,0.000105217
648,9.96091E-05
648.5,0.000104515
649,0.000123837
649.5,0.0001468
650,0.000167907
650.5,0.000191541
651,0.00018969
651.5,0.000179681
652,0.000163039
652.5,0.000122513
653,0.000111379
653.5,9.59507E-05
654,9.5E-05
654.5,9.5E-05
655,9.5E-05
655.5,9.5E-05
656,9.5E-05
656.5,9.5E-05
657,0.000104288
657.5,0.000113879
658,0.000143922
658.5,0.000187329
659,0.000238514
659.5,0.000253404
660,0.000205209
660.5,0.000136076
661,9.5E-05
661.5,9.5E-05
662,9.5E-05
662.5,9.5E-05
663,9.5E-05
663.5,9.5E-05
664,9.5E-05
664.5,9.5E-05
665,9.5E-05
665.5,9.5E-05
666,9.5E-05
666.5,9.5E-05
667,9.5E-05
667.5,9.5E-05
668,9.5E-05
668.5,9.5E-05
669,9.5E-05
669.5,9.5E-05
670,9.5E-05
670.5,9.5E-05
671,9.5E-05
671.5,9.5E-05
672,9.5E-05
672.5,9.5E-05
673,9.5E-05
673.5,9.5E-05
674,9.5E-05
674.5,9.5E-05
675,9.5E-05
675.5,9.5E-05
676,9.5E-05
676.5,9.5E-05
677,9.5E-05
677.5,9.5E-05
678,9.5E-05
678.5,9.5E-05
679,9.5E-05
679.5,9.5E-05
680,9.5E-05
680.5,9.5E-05
681,9.5E-05
681.5,9.5E-05
682,9.5E-05
682.5,9.5E-05
683,9.5E-05
683.5,9.5E-05
684,9.5E-05
684.5,9.5E-05
685,9.5E-05
685.5,9.5E-05
686,9.5E-05
686.5,9.5E-05
687,9.5E-05
687.5,9.5E-05
688,9.5E-05
688.5,9.5E-05
689,9.5E-05
689.5,9.5E-05
690,9.5E-05
690.5,9.5E-05
691,9.5E-05
691.5,9.5E-05
692,9.5E-05
692.5,9.5E-05
693,9.5E-05
693.5,9.5E-05
694,9.5E-05
694.5,9.5E-05
695,9.5E-05
695.5,9.5E-05
696,9.5E-05
696.5,9.5E-05
697,9.5E-05
697.5,9.5E-05
698,9.5E-05
698.5,9.5E-05
699,9.5E-05
699.5,9.5E-05
700,9.5E-05
700.5,9.5E-05
701,9.5E-05
701.5,9.5E-05
702,9.5E-05
702.5,9.5E-05
703,9.5E-05
703.5,9.5E-05
704,9.5E-05
704.5,9.5E-05
705,9.5E-05
705.5,9.5E-05
706,9.5E-05
706.5,9.5E-05
707,9.5E-05
707.5,9.5E-05
708,9.5E-05
708.5,9.5E-05
709,9.5E-05
709.5,9.5E-05
710,9.5E-05
710.5,9.5E-05
711,9.5E-05
711.5,9.5E-05
712,9.5E-05
712.5,9.5E-05
713,9.5E-05
713.5,9.5E-05
714,9.5E-05
714.5,9.5E-05
715,9.5E-05
715.5,9.5E-05
716,9.5E-05
716.5,9.5E-05
717,9.5E-05
717.5,9.5E-05
718,9.5E-05
718.5,9.5E-05
719,9.5E-05
719.5,9.5E-05
720,9.5E-05
720.5,9.5E-05
721,9.5E-05
721.5,9.5E-05
722,9.5E-05
722.5,9.5E-05
723,9.5E-05
723.5,9.5E-05
724,9.5E-05
724.5,9.5E-05
725,9.5E-05
725.5,9.5E-05
726,9.5E-05
726.5,9.5E-05
727,9.5E-05
727.5,9.5E-05
728,9.5E-05
728.5,9.5E-05
729,9.5E-05
729.5,9.5E-05
730,9.5E-05
730.5,9.5E-05
731,9.5E-05
731.5,9.5E-05
732,9.5E-05
732.5,9.5E-05
733,9.5E-05
733.5,9.5E-05
734,9.5E-05
734.5,9.5E-05
735,9.5E-05
735.5,9.5E-05
736,9.5E-05
736.5,9.5E-05
737,9.5E-05
737.5,9.5E-05
738,9.5E-05
738.5,9.5E-05
739,9.5E-05
739.5,9.5E-05
740,9.5E-05
740.5,9.5E-05
741,9.5E-05
741.5,9.5E-05
742,9.5E-05
742.5,9.5E-05
743,9.5E-05
743.5,9.5E-05
744,9.5E-05
744.5,9.5E-05
745,9.5E-05
745.5,9.5E-05
746,9.5E-05
746.5,9.5E-05
747,9.5E-05
747.5,9.5E-05
748,9.5E-05
748.5,9.5E-05
749,9.5E-05
749.5,9.5E-05
750,9.5E-05
750.5,9.5E-05
751,9.5E-05
751.5,9.5E-05
752,9.5E-05
752.5,9.5E-05
753,9.5E-05
753.5,9.5E-05
754,9.5E-05
754.5,9.5E-05
755,9.5E-05
755.5,9.5E-05
756,9.5E-05
756.5,9.5E-05
757,9.5E-05
757.5,9.5E-05
758,9.5E-05
758.5,9.5E-05
759,9.5E-05
759.5,9.5E-05
760,9.5E-05
760.5,9.5E-05
761,9.5E-05
761.5,9.5E-05
762,9.5E-05
762.5,9.5E-05
763,9.5E-05
763.5,9.5E-05
764,9.5E-05
764.5,9.5E-05
765,9.5E-05
765.5,9.5E-05
766,9.5E-05
766.5,9.5E-05
767,9.5E-05
767.5,9.5E-05
768,9.5E-05
768.5,9.5E-05
769,9.5E-05
769.5,9.5E-05
770,9.5E-05
770.5,9.5E-05
771,9.5E-05
771.5,9.5E-05
772,9.5E-05
772.5,9.5E-05
773,9.5E-05
773.5,9.5E-05
774,9.5E-05
774.5,9.5E-05
775,9.5E-05
775.5,9.5E-05
776,9.5E-05
776.5,9.5E-05
777,9.5E-05
777.5,9.5E-05
778,9.5E-05
778.5,9.5E-05
779,9.5E-05
779.5,9.5E-05
780,9.5E-05
780.5,9.5E-05
781,9.5E-05
781.5,9.5E-05
782,9.5E-05
782.5,9.5E-05
783,9.5E-05
783.5,9.5E-05
784,9.5E-05
784.5,9.5E-05
785,9.5E-05
785.5,9.5E-05
786,9.5E-05
786.5,9.5E-05
787,9.5E-05
787.5,9.5E-05
788,9.5E-05
788.5,9.5E-05
789,9.5E-05
789.5,9.5E-05
790,9.5E-05
790.5,9.5E-05
791,9.5E-05
791.5,9.5E-05
792,9.5E-05
792.5,9.5E-05
793,9.5E-05
793.5,9.5E-05
794,9.5E-05
794.5,9.5E-05
795,9.5E-05
795.5,9.5E-05
796,9.5E-05
796.5,0.000140998
797,0.000244934
797.5,0.000290787
798,0.000249564
798.5,0.000352254
799,0.000264539
799.5,0.000165794
800,0.000212186
800.5,0.000255936
801,0.000299711
801.5,0.000270538
802,0.000241405
802.5,0.000260942
803,0.000280496
803.5,0.000276714
804,0.000272936
804.5,0.000318391
805,0.000363844
805.5,0.000354344
806,0.000344839
806.5,0.000353953
807,0.00036306
807.5,0.000362266
808,0.000361471
808.5,0.000367854
809,0.00037423
809.5,0.000381178
810,0.000388126
810.5,0.000382294
811,0.000376461
811.5,0.000393255
812,0.000410043
812.5,0.000404528
