Lambda (nm),transmission
684.5,49.32090044
685,48.8308996
685.5,48.27359915
686,47.88970053
686.5,47.59930074
687,47.33240008
687.5,47.19490111
688,47.15969861
688.5,47.18819857
689,47.12820053
689.5,47.20880091
690,47.23320007
690.5,47.38309979
691,47.4101007
691.5,47.44110107
692,47.44099975
692.5,47.44510055
693,47.28839993
693.5,47.17690051
694,47.0517993
694.5,46.87069952
695,46.82089984
695.5,46.67930007
696,46.50740027
696.5,46.41729891
697,46.24519944
697.5,46.12340033
698,46.14210129
698.5,45.99300027
699,45.88400126
699.5,45.75310051
700,45.53959966
700.5,45.38339972
701,45.17459869
701.5,44.79340017
702,44.58360076
702.5,44.18930113
703,43.87289882
703.5,43.54330003
704,43.13560128
704.5,42.83039868
705,42.46670008
705.5,42.18569994
706,41.83030128
706.5,41.62589908
707,41.36559963
707.5,41.19949937
708,41.03200138
708.5,40.75500071
709,40.54040015
709.5,40.38709998
710,40.16979933
710.5,39.92150128
711,39.70119953
711.5,39.51359987
712,39.17370141
712.5,38.84350061
713,38.50460052
713.5,38.20900023
714,37.90819943
714.5,37.55489886
715,37.14210093
715.5,36.75940037
716,36.362499
716.5,36.01369858
717,35.53690016
717.5,35.09869874
718,34.70759988
718.5,34.34660137
719,33.93830061
719.5,33.54069889
720,33.19259882
720.5,32.84850121
721,32.51779974
721.5,32.06729889
722,31.75289929
722.5,31.47459924
723,31.1352998
723.5,30.8382988
724,30.52070141
724.5,30.22939861
725,29.86589968
725.5,29.53880131
726,29.26410139
726.5,28.91710103
727,28.50619853
727.5,28.11760008
728,27.71219909
728.5,27.3544997
729,27.01660097
729.5,26.66400075
730,26.21459961
730.5,25.86700022
731,25.44560134
731.5,25.13200045
732,24.75789934
732.5,24.39720035
733,24.15170074
733.5,23.77530038
734,23.46429974
734.5,23.2179001
735,22.91419953
735.5,22.60619998
736,22.33999968
736.5,22.06639946
737,21.84959948
737.5,21.59769982
738,21.40599936
738.5,21.17870003
739,21.01240009
739.5,20.77900022
740,20.6081003
740.5,20.41860074
741,20.28339952
741.5,20.07900029
742,19.84239966
742.5,19.6272999
743,19.44690049
743.5,19.29569989
744,19.05229986
744.5,18.81649941
745,18.55790019
745.5,18.31990033
746,18.05319935
746.5,17.8500995
747,17.58359969
747.5,17.27979928
748,17.07780063
748.5,16.79629982
749,16.60300046
749.5,16.41159952
750,16.20000005
750.5,16.01099968
751,15.84099978
751.5,15.66510051
752,15.5144006
752.5,15.41679949
753,15.27120024
753.5,15.17170072
754,15.09220004
754.5,14.99360055
755,14.98090029
755.5,14.85929936
756,14.81640041
756.5,14.69829977
757,14.64170069
757.5,14.53160048
758,14.44479972
758.5,14.38010037
759,14.29339945
759.5,14.18499947
760,14.08330053
760.5,13.9910996
761,13.81379962
761.5,13.66530061
762,13.50329965
762.5,13.38399947
763,13.2190004
763.5,13.06090057
764,12.85790056
764.5,12.69849986
765,12.55770028
765.5,12.38370016
766,12.23080009
766.5,12.07600012
767,11.91909984
767.5,11.75030023
768,11.61739975
768.5,11.43670008
769,11.35720015
769.5,11.22829989
770,11.11079976
770.5,11.01050004
771,10.85729972
