l (nm),transmission
548,2.7599999995855334e-08
549,3.2399999984585923e-09
550,3.0899999969773085e-08
551,1.2299999987555467e-08
552,2.9000000006747215e-08
553,2.4800000009923742e-08
554,2.6899999999850836e-08
555,6.750000002626278e-10
556,3.0899999969773085e-08
557,4.72000000397681e-09
558,2.6299999970341225e-08
559,2.4800000009923742e-08
560,2.329999999860406e-08
561,4.7600000030634776e-08
562,3.365000003409243e-08
563,1.9699999992669993e-08
564,3.2500000001580894e-08
565,3.049999997564564e-08
566,5.8399999984885505e-09
567,2.7599999995855334e-08
568,2.259999999232949e-08
569,1.280000001037842e-08
570,7.405000002434355e-09
571,7.405000002434355e-09
572,7.405000002434355e-09
573,7.405000002434355e-09
574,7.405000002434355e-09
575,7.405000002434355e-09
576,7.405000002434355e-09
577,7.405000002434355e-09
578,7.405000002434355e-09
579,7.405000002434355e-09
580,7.405000002434355e-09
581,7.405000002434355e-09
582,7.405000002434355e-09
583,7.405000002434355e-09
584,7.405000002434355e-09
585,7.405000002434355e-09
586,7.405000002434355e-09
587,7.405000002434355e-09
588,7.405000002434355e-09
589,7.405000002434355e-09
590,7.405000002434355e-09
591,7.405000002434355e-09
592,7.405000002434355e-09
593,2.0099999980538912e-09
594,1.2205000006935622e-08
595,1.2205000006935622e-08
596,2.2399999982764595e-08
597,2.2950000006696418e-08
598,2.3499999985296162e-08
599,1.0399999992845145e-08
600,2.580000000218436e-08
601,2.0350000020559303e-08
602,1.4899999985855497e-08
603,1.2164999992525637e-08
604,9.430000005703492e-09
605,6.0699999989481405e-09
606,1.4334999990675258e-08
607,2.259999999232949e-08
608,1.1699500006564138e-08
609,7.989999994223289e-10
610,3.454499999841613e-09
611,3.454499999841613e-09
612,6.109999996587561e-09
613,5.010000001531449e-09
614,5.010000001531449e-09
615,5.010000001531449e-09
616,5.010000001531449e-09
617,5.010000001531449e-09
618,5.010000001531449e-09
619,5.010000001531449e-09
620,5.010000001531449e-09
621,5.010000001531449e-09
622,5.010000001531449e-09
623,5.010000001531449e-09
624,5.010000001531449e-09
625,5.010000001531449e-09
626,5.010000001531449e-09
627,5.010000001531449e-09
628,5.010000001531449e-09
629,5.010000001531449e-09
630,5.010000001531449e-09
631,3.909999996435975e-09
632,1.1399999991167764e-08
633,2.395000001375462e-08
634,3.649999996163586e-08
635,3.0250000000801865e-08
636,3.0250000000801865e-08
637,3.0250000000801865e-08
638,2.4000000015937223e-08
639,2.8700000017578905e-09
640,1.9499999983722805e-08
641,1.3179999992170467e-08
642,6.860000004632074e-09
643,6.900000004174447e-09
644,2.3900000002854053e-08
645,1.6449999989167297e-08
646,8.999999990895757e-09
647,2.6299999970341225e-08
648,2.0800000001783475e-08
649,2.7500000010747953e-08
650,2.019999997922655e-08
651,2.3600000001624423e-08
652,1.9499999983722805e-08
653,1.5400000005798998e-08
654,3.389999998414793e-09
655,9.094999991633615e-09
656,1.4799999986540528e-08
657,1.2449999987622796e-08
658,1.2449999987622796e-08
659,1.0100000005054885e-08
660,2.950000000148332e-08
661,2.4899999994510993e-08
662,2.0300000004056646e-08
663,2.0399999979994366e-08
664,1.2200000009136829e-08
665,6.00999999996209e-08
666,3.970000002165431e-08
667,7.159999994924534e-08
668,5.890000002887377e-08
669,1.1200000008505668e-07
670,1.189999998924435e-07
671,2.2000000009006497e-07
672,2.159999999249332e-07
673,2.650000000385589e-07
674,3.549999999549648e-07
675,4.460000002956164e-07
676,5.820000004691862e-07
677,7.380000003007067e-07
678,8.830000008588801e-07
679,1.1013073533846025e-06
680,1.3050314744037603e-06
681,1.5504453040944046e-06
682,1.7987578779023768e-06
683,2.0193462861136132e-06
684,2.2904416267330466e-06
685,2.4385748812458984e-06
686,2.5700085076252234e-06
687,2.700537149750606e-06
688,2.7896993548770176e-06
689,2.763596130965373e-06
690,2.8518299192981625e-06
691,2.8078455948843935e-06
692,2.866097781741235e-06
693,2.7955690196521378e-06
694,2.780513026144394e-06
695,2.744599766144755e-06
696,2.8175424111542336e-06
