Wavelength (nm),Transmission
514.2453347,96.51160464
517.9732325,97.58303321
523.0134258,98.78296773
527.5277223,98.80152061
532.9147887,97.24089636
537.6119623,96.18747499
540.868595,94.75590236
542.5951638,93.24329732
544.7585753,91.73069228
546.9217392,90.20008003
548.433849,88.97559024
550.1650611,87.80062025
551.8959018,86.59863946
553.620799,84.96448579
555.1264081,83.26730692
556.8527293,81.73669468
558.5830128,80.49419768
561.1847529,79.08963585
564.2290315,78.0992397
566.3938051,76.68567427
568.1133161,74.65986395
569.8339414,72.71508603
570.6849675,71.06742697
571.5367365,69.47378952
572.3870196,67.77210884
573.2373028,66.07042817
573.8756652,64.84143657
575.6035341,63.42336935
577.3256454,61.58663465
579.0466422,59.66886755
580.9928954,58.24809924
583.1531866,56.50860344
584.873812,54.56382553
586.5959232,52.72709084
588.3269496,51.53861545
590.0537661,50.04401761
592.2159394,48.44137655
594.3810845,47.05482193
596.1043101,45.29911965
597.390693,43.54341737
598.6781903,41.8687475
599.7506095,40.43717487
600.6031214,38.89755902
601.4545189,37.27691076
602.3033162,35.46718687
603.1534136,33.7520008
604.4388679,31.92877151
605.7289655,30.44317727
606.5812917,28.89005602
607.434918,27.43147259
608.5056655,25.87835134
610.6638766,23.98759504
612.8250593,22.31292517
614.8396372,20.56622649
616.7120679,19.07162865
618.8732507,17.39695878
620.5968478,15.66826731
622.7602593,14.15566226
625.4682384,12.53501401
628.1817894,11.31952781
631.2211152,9.968987595
633.6036167,8.505002001
636.2053073,7.096838735
638.8050662,5.548219288
641.8461255,4.323729492
645.9743387,2.739095638
649.526286,1.604641857
653.9310341,0.716286515
659.0022315,0.288315326
663.6325414,0.272108844
668.4378113,0.272108844
673.2430811,0.272108844
678.048351,0.272108844
682.8536208,0.272108844
687.6588907,0.272108844
692.4641605,0.272108844
697.2694304,0.272108844
702.0747002,0.272108844
706.8799701,0.272108844
711.6852399,0.272108844
716.4905098,0.272108844
721.2957796,0.272108844
726.1010495,0.272108844
730.9063193,0.272108844
735.7115892,0.272108844
740.516859,0.272108844
745.3221289,0.272108844
750.1273987,0.272108844
754.9326685,0.272108844
759.7379384,0.272108844
764.5432082,0.272108844
769.3484781,0.272108844
774.1537479,0.272108844
778.9590178,0.272108844
783.7642876,0.272108844
788.5695575,0.272108844
793.3748273,0.272108844
798.1800972,0.272108844
802.985367,0.272108844
807.7906369,0.272108844
812.5959067,0.272108844
817.4011766,0.272108844
822.2064464,0.272108844
827.0117163,0.272108844
831.8169861,0.272108844
836.622256,0.272108844
841.4275258,0.272108844
846.2327957,0.272108844
851.0380655,0.272108844
855.8433354,0.272108844
860.6486052,0.272108844
865.4538751,0.272108844
870.2591449,0.272108844
875.0644148,0.272108844
879.8696846,0.272108844
884.6749545,0.272108844
889.4802243,0.272108844
894.2854942,0.272108844
899.090764,0.272108844
903.8960339,0.272108844
908.7013037,0.272108844
913.5065736,0.272108844
918.3118434,0.272108844
923.1171133,0.272108844
927.9223831,0.272108844
932.7276529,0.272108844
937.5329228,0.272108844
942.3381926,0.272108844
947.1434625,0.272108844
951.9487323,0.272108844
956.7540022,0.272108844
961.559272,0.272108844
966.3645419,0.272108844
971.1698117,0.272108844
975.9750816,0.272108844
980.7803514,0.272108844
985.5856213,0.272108844
990.3908911,0.272108844
995.196161,0.272108844
1000.001431,0.272108844
1004.806701,0.272108844
1009.611971,0.272108844
1014.41724,0.272108844
1019.22251,0.272108844
1024.02778,0.272108844
1028.83305,0.272108844
1033.63832,0.272108844
1038.44359,0.272108844
1043.248859,0.272108844
1046.961899,0.263105242
