Lambda (nm),transmission
525.5,97.88939953
526,98.07689786
526.5,98.0660975
527,98.26999903
527.5,98.17640185
528,98.06780219
528.5,97.95410037
529,97.59619832
529.5,97.21000195
530,96.69229984
530.5,96.31429911
531,96.08049989
531.5,95.71499825
532,95.47880292
532.5,95.65669894
533,95.53639889
533.5,95.47709823
534,95.24869919
534.5,95.14700174
535,94.6344018
535.5,93.9760983
536,93.3908999
536.5,92.53979921
537,91.7501986
537.5,91.23340249
538,90.52960277
538.5,90.16199708
539,90.00779986
539.5,89.96369839
540,89.7480011
540.5,89.71530199
541,89.72889781
541.5,89.66649771
542,89.54679966
542.5,89.47479725
543,89.19630051
543.5,88.74459863
544,88.34360242
544.5,87.4557972
545,86.42029762
545.5,85.41430235
546,83.82139802
546.5,82.55239725
547,81.14269972
547.5,80.06899953
548,79.3381989
548.5,78.77110243
549,78.51999998
549.5,78.65710258
550,79.03360128
550.5,79.33670282
551,79.54679728
551.5,79.33499813
552,79.04009819
552.5,78.00689936
553,76.69029832
553.5,75.35390258
554,73.57119918
554.5,72.09860086
555,70.50870061
555.5,69.29230094
556,68.34350228
556.5,67.89489985
557,67.64199734
557.5,67.8640008
558,68.31420064
558.5,68.89340281
559,69.56329942
559.5,70.40479779
560,70.9954977
560.5,71.69849873
561,72.03069925
561.5,72.06010222
562,71.87590003
562.5,71.39840126
563,70.55339813
563.5,69.65060234
564,68.423599
564.5,67.26130247
565,65.8667028
565.5,64.71139789
566,63.62730265
566.5,62.59559989
567,61.8152976
567.5,61.03410125
568,60.39770246
568.5,59.76669788
569,59.04870033
569.5,58.32409859
570,57.41289854
570.5,56.35899901
571,55.35789728
571.5,54.00019884
572,52.85090208
572.5,51.64399743
573,50.49039721
573.5,49.54459965
574,48.82729948
574.5,48.05429876
575,47.61269987
575.5,47.28699923
576,47.04180062
576.5,46.78049982
577,46.48909867
577.5,45.985201
578,45.38410008
578.5,44.63199973
579,43.62440109
579.5,42.48290062
580,41.25150144
580.5,40.02690017
581,38.78050148
581.5,37.74859905
582,36.74600124
582.5,35.92300117
583,35.20970047
583.5,34.51960087
584,33.93329978
584.5,33.35439861
585,32.57859945
585.5,31.78330064
586,30.84230125
586.5,29.84369993
587,28.80330086
