Lambda (nm),transmission
581,0.00892322
581.5,0.00817578
582,0.00712081
582.5,0.00606754
583,0.00527973
583.5,0.00447984
584,0.00413238
584.5,0.00368017
585,0.00355847
585.5,0.00357006
586,0.00377976
586.5,0.00405759
587,0.00465492
587.5,0.00520002
588,0.00565683
588.5,0.00563348
589,0.00510264
589.5,0.00426767
590,0.0035572
590.5,0.00282134
591,0.00233167
591.5,0.00206414
592,0.00190083
592.5,0.00185068
593,0.00179399
593.5,0.00186106
594,0.00207985
594.5,0.00223811
595,0.002363
595.5,0.00236242
596,0.00215204
596.5,0.00176798
597,0.00137609
597.5,0.00107192
598,0.000843831
598.5,0.000703785
599,0.000570902
599.5,0.000485771
600,0.000448725
600.5,0.000407013
601,0.000432953
601.5,0.000435148
602,0.000445874
602.5,0.000487781
603,0.000623049
603.5,0.00076202
604,0.000989176
604.5,0.00131034
605,0.00153059
605.5,0.00148946
606,0.00119277
606.5,0.000768767
607,0.000471049
607.5,0.000293496
608,0.000215861
608.5,0.000146851
609,0.000106932
609.5,9.5E-05
610,9.5E-05
610.5,9.5E-05
611,9.5E-05
611.5,9.5E-05
612,9.5E-05
612.5,9.5E-05
613,9.5E-05
613.5,9.5E-05
614,9.5E-05
614.5,9.5E-05
615,9.5E-05
615.5,9.5E-05
616,0.000101564
616.5,0.000138027
617,0.00019167
617.5,0.000193371
618,0.00015377
618.5,0.000102751
619,9.5E-05
619.5,9.5E-05
620,9.5E-05
620.5,9.5E-05
621,9.5E-05
621.5,9.5E-05
622,9.5E-05
622.5,9.5E-05
623,9.5E-05
623.5,9.5E-05
624,9.5E-05
624.5,9.5E-05
625,9.5E-05
625.5,9.5E-05
626,9.5E-05
626.5,9.5E-05
627,9.5E-05
627.5,9.5E-05
628,9.5E-05
628.5,0.000139804
629,0.000355752
629.5,0.000581776
630,0.000504676
630.5,0.000267051
631,0.000105266
631.5,9.5E-05
632,9.5E-05
632.5,9.5E-05
633,9.5E-05
633.5,9.5E-05
634,9.5E-05
634.5,9.5E-05
635,9.5E-05
635.5,9.5E-05
636,9.5E-05
636.5,9.5E-05
637,9.5E-05
637.5,9.5E-05
638,0.000118885
638.5,0.000256414
639,0.000374507
639.5,0.000336236
640,0.000184424
640.5,9.5E-05
641,9.5E-05
641.5,9.5E-05
642,9.5E-05
642.5,9.5E-05
643,9.5E-05
643.5,9.5E-05
644,9.5E-05
644.5,9.5E-05
645,9.5E-05
645.5,9.5E-05
646,9.5E-05
646.5,9.5E-05
647,9.5E-05
647.5,9.5E-05
648,9.5E-05
648.5,9.5E-05
649,9.5E-05
649.5,9.5E-05
650,9.5E-05
650.5,9.5E-05
651,9.5E-05
651.5,9.66436E-05
652,0.000213857
652.5,0.000423017
653,0.000385747
653.5,0.00028258
654,0.000138572
654.5,9.5E-05
655,9.5E-05
655.5,9.5E-05
656,9.5E-05
656.5,9.5E-05
657,9.5E-05
657.5,9.5E-05
658,9.5E-05
658.5,9.5E-05
659,9.5E-05
659.5,9.5E-05
660,9.5E-05
660.5,9.5E-05
661,9.5E-05
661.5,9.5E-05
662,9.5E-05
662.5,9.5E-05
663,9.5E-05
663.5,9.5E-05
664,9.5E-05
664.5,9.5E-05
665,9.5E-05
665.5,9.5E-05
666,9.5E-05
666.5,9.5E-05
667,9.5E-05
667.5,9.5E-05
668,9.5E-05
668.5,9.5E-05
669,9.5E-05
669.5,0.000115927
670,0.000145092
670.5,0.000191032
671,0.00021024
671.5,0.000262519
672,0.000271095
672.5,0.000250616
673,0.000201852
673.5,0.00015474
674,0.000122795
674.5,0.000114644
675,9.5E-05
675.5,9.5E-05
676,9.5E-05
676.5,9.5E-05
677,9.5E-05
677.5,9.5E-05
678,9.5E-05
678.5,9.5E-05
679,9.5E-05
679.5,9.5E-05
680,9.5E-05
680.5,9.5E-05
681,9.5E-05
681.5,9.5E-05
682,9.5E-05
682.5,9.5E-05
683,9.5E-05
683.5,9.5E-05
684,9.5E-05
684.5,9.5E-05
685,9.5E-05
