band,filter_id,facility,instrument,wavelength_eff,fwhm,mean_overlap,min_overlap,median_overlap,n_low_pairs,is_outlier
V,XMM/OM.V,XMM,OM,5412.1,713.9,0.9123,0.7566,0.9186,0,False
V,Gemini/AcqCam-N.V,Gemini,AcqCam-N,5544.2,1310.3,0.9130,0.6440,0.9232,0,False
V,TYCHO/TYCHO.V,TYCHO,,5340.0,978.3,0.9169,0.6389,0.9381,0,False
V,Swift/UVOT.V_fil,Swift,UVOT,5453.2,762.9,0.9207,0.7781,0.9226,0,False
V,Swift/UVOT.V,Swift,UVOT,5411.4,745.0,0.9230,0.7696,0.9285,0,False
V,Swift/UVOT.V_trn,Swift,UVOT,5412.4,745.9,0.9240,0.7723,0.9294,0,False
V,Paranal/OmegaCAM.V_aux_filter,Paranal,OmegaCAM,5500.3,972.1,0.9313,0.7426,0.9343,0,False
V,Paranal/OmegaCAM.V_qD_filter,Paranal,OmegaCAM,5494.4,962.0,0.9317,0.7499,0.9354,0,False
V,Paranal/OmegaCAM.V_qA_filter,Paranal,OmegaCAM,5492.7,960.8,0.9321,0.7503,0.9359,0,False
V,Paranal/OmegaCAM.V_aux,Paranal,OmegaCAM,5494.7,974.3,0.9328,0.7442,0.9365,0,False
V,Paranal/OmegaCAM.V_qD,Paranal,OmegaCAM,5489.0,964.0,0.9328,0.7513,0.9369,0,False
V,Paranal/OmegaCAM.V_qA,Paranal,OmegaCAM,5487.3,962.8,0.9332,0.7517,0.9372,0,False
V,TNG/TNG.TNG11,TNG,,5249.6,1009.5,0.9347,0.6872,0.9491,0,False
V,TNG/DOLORES.V,TNG,DOLORES,5251.5,1009.5,0.9348,0.6878,0.9489,0,False
V,Paranal/OmegaCAM.V_filter,Paranal,OmegaCAM,5488.6,972.3,0.9353,0.7467,0.9389,0,False
V,Paranal/VIMOS.V,Paranal,VIMOS,5414.0,877.6,0.9355,0.7828,0.9447,0,False
V,Paranal/OmegaCAM.V,Paranal,OmegaCAM,5483.1,974.6,0.9366,0.7480,0.9403,0,False
V,Paranal/OmegaCAM.V_qB_filter,Paranal,OmegaCAM,5484.6,982.6,0.9374,0.7434,0.9418,0,False
V,CFHT/CFH12k.V,CFHT,CFH12k,5338.4,974.0,0.9375,0.7562,0.9484,0,False
V,Paranal/OmegaCAM.V_qC_filter,Paranal,OmegaCAM,5483.1,982.6,0.9379,0.7432,0.9422,0,False
V,Paranal/OmegaCAM.V_qB,Paranal,OmegaCAM,5479.0,985.0,0.9386,0.7446,0.9428,0,False
V,LBT/LBCB.bessel-V,LBT,LBC,5462.1,1219.3,0.9389,0.6636,0.9540,0,False
V,Paranal/OmegaCAM.V_qC,Paranal,OmegaCAM,5477.5,985.1,0.9391,0.7444,0.9432,0,False
V,CAHA/LAICA.Johnson_V,CAHA,LAICA,5425.5,1120.7,0.9448,0.6750,0.9610,0,False
V,LaSilla/EFOSC.ESO641,La Silla,EFOSC,5457.7,1133.4,0.9474,0.6809,0.9617,0,False
V,LCO/OGLE-IV.V_filter,LCO,OGLE,5344.6,955.0,0.9482,0.7421,0.9587,0,False
V,OHP/Cam120.V,OHP,Cam120,5495.3,1152.3,0.9489,0.6872,0.9618,0,False
V,OHP/Cam120.V_fil,OHP,Cam120,5488.3,1142.3,0.9504,0.6882,0.9636,0,False
V,LaSilla/SUSI2.V,La Silla,SUSI2,5414.1,1152.1,0.9525,0.6786,0.9696,0,False
V,Paranal/FORS1.ESO1035,Paranal,FORS1,5457.1,1122.9,0.9537,0.6915,0.9676,0,False
V,OAF/Bessell.V,OAF,,5456.3,1088.8,0.9573,0.6997,0.9700,0,False
V,CAHA/MUNICS.V,CAHA,MUNICS,5346.8,1014.4,0.9583,0.7030,0.9773,0,False
V,Subaru/FOCAS.V,Subaru,FOCAS,5440.7,1009.7,0.9597,0.7418,0.9695,0,False
V,CAHA/CAHA.534_97b,CAHA,,5325.0,976.5,0.9607,0.7078,0.9787,0,False
V,BOK/90prime.V,BOK,90prime,5297.2,817.0,0.9619,0.7306,0.9769,0,False
V,Paranal/FORS2.ESO1075,Paranal,FORS2,5432.1,1059.3,0.9621,0.7056,0.9786,0,False
