Nova_Name,SIMBAD_Name,Input_Name,Nova_Aliases,Discovery_Date,Nova_Otypes,is_nova,is_recurrent,Peak_Mag,Filter,Uncertainty
V603 Aql,V603 Aql,V603 Aql,TIC 173460141|UCAC4 453-082415|WISE J184854.64+003503.4|WISEA J184854.63+003503.3|HIP 92316|BSD 110-794|Gaia DR3 4266547566124966912|SRGA J184855.6+003447|NAME Nova Aquila No 3|PLX 4341|SBC9 1086|2E  4138|AAVSO 1843+00|ALS  9992|AN    7.1918|CSI+00-18463|EM* CDS 1028|FASTT 1189|GCRV 68659|GEN# +8.04000003|GSC 00448-00423|HBHA  202-05|HD 174107|HIC  92316|KPD 1846+0031|LS  IV +00    3|NOVA Aql 1918|SBC7   706|UBV M  51004|V603 Aql|[KW97] 35-7|[P2004] 17|2MASS J18485464+0035030|EM* RJHA  116|PLX 4341.00|1ES 1846+00.5|1RXS J184854.7+003501|2E 1846.3+0031|SSTGLMC G033.1638+00.8287|TYC  448-423-1|PBC J1848.7+0039|SWIFT J1848.4+0040|Gaia DR1 4266547566124966912|WEB 15932|Gaia DR2 4266547566124966912,1918-06-08,*|CV*|Em*|HS?|MIR|NIR|No*|SB*|UV|V*|X|blu,True,False,,,False
V1017 Sgr,V1017 Sgr,V1017 Sgr,TIC 226703160|UCAC4 304-232890|Gaia DR3 4048251562703375488|2E  4084|AAVSO 1825-29|NOVA Sgr 1919|SV* HV  3519|V1017 Sgr|2E 1828.9-2925|2MASS J18320447-2923125|Gaia DR2 4048251562703375488,1919-03-11,*|CV*|NIR|No*|V*|X,True,False,,,False
V605 Aql,PN A66   58,V605 Aql,C* 2719|AAVSO 1913+01|AN    7.1920|CGCS 4225|GSC2 N020103213277|IRAS 19158+0141|Lund    21|NOVA Aql 1919|PK 037-05  1|PN A55   45|PN G037.5-05.1|PN A66   58|PN ARO  150|PN VV'  489|SCM 239|V605 Aql|NAME Nova Aquilae No 4,1919-07-04,*|C*|Cl*|IR|No*|PN|V*,True,False,,,False
V849 Oph,V849 Oph,V849 Oph,ZTF J181407.30+113642.1|Gaia DR2 4484747641520751872|PLX 4184|AAVSO 1809+11|CSI+11-18117|HD 167276|NOVA Oph 1919|SV* HV  3520|V849 Oph|PLX 4184.00,1919-08-20,*|CV*|EB*|No*|V*,True,False,,,False
HR Lyr,HR Lyr,HR Lyr,TIC 358601798|ATO J283.3543+29.2271|Gaia DR3 2040551920255615104|PLX 4372|AAVSO 1849+29|AN    1.1920|CSI+29-18514|EM* CDS 1033|HD 175268|NOVA Lyr 1919|SV* HV  3521|HR Lyr|2MASS J18532505+2913377|PLX 4372.00|Gaia DR2 2040551920255615104,1919-12-06,*|Em*|NIR|No*|Opt|V*,True,False,,,False
V476 Cyg,V476 Cyg,V476 Cyg,Gaia DR2 2089624258071404544|Gaia DR3 2089624258071404544|PLX 4739|AAVSO 1955+53B|AN   26.1920|CSI+53-19572|EM* CDS 1113|GCRV 12334|NOVA Cyg 1920|V476 Cyg|PLX 4739.00|PSO J299.6020+53.6185|TIC 1882220505,1920-08-20,*|Em*|No*|Opt|V*,True,False,,,False
FL Sgr,FL Sgr,FL Sgr,AAVSO 1753-34B|NOVA Sgr 1924|SV* HV  4003|FL Sgr,1924-05-13,No*|V*,True,False,,,False
RR Pic,RR Pic,RR Pic,TIC 293271581|UCAC4 137-008110|WISE J063536.06-623824.3|GALEX J063536.4-623823|WISEA J063536.07-623824.3|HIP 31481|Gaia DR3 5477422099543150592|2MASS J06353606-6238242|PLX 1557|2E  1715|AAVSO 0634-62|CSI-62-06352|HIC  31481|Hen 3-15|NOVA Pic 1925|RR Pic|[TDQ2000] SRX  5|PLX 1557.00|1RXS J063536.4-623824|2E 0635.1-6235|TYC 8899-1342-1|ASAS J063536-6238.3|Gaia DR1 5477422095246244224|Gaia DR2 5477422099543150592,1925-05-25,*|CV*|Em*|HS?|MIR|NIR|No*|UV|V*|X|blu,True,False,,,False
DO Aql,DO Aql,DO Aql,TIC 100562828|Gaia DR2 4208116120905286528|WISE J193125.91-062538.8|SDSS J193125.89-062538.6|WISEA J193125.90-062539.0|AAVSO 1926-06|AN    9.1925|NOVA Aql 1925|DO Aql|2MASS J19312591-0625382,1925-09-14,*|EB*|MIR|NIR|No*|Opt|V*,True,False,,,False
KY Sgr,KY Sgr,KY Sgr,TIC 196008675|AP J18012101-2624400|Gaia DR3 4064004158352971520|AAVSO 1755-26|NOVA Sgr 1926 a|SV* HV  4480|KY Sgr|2MASS J18012101-2624400,1926-06-14,*|NIR|No*|V*,True,False,,,False
FM Sgr,FM Sgr,FM Sgr,AAVSO 1811-23|NOVA Sgr 1926|SV* HV  3994|FM Sgr,1926-07-16,No*|V*,True,False,,,False
EL Aql,EL Aql,EL Aql,TIC 57427978|Gaia DR3 4255780873390406528|AAVSO 1850-03|AN   60.1927|NOVA Aql 1927|EL Aql|2MASS J18560202-0319205|USNO-B1.0 0866-00433092|Gaia DR2 4255780873390406528,1927-07-30,*|NIR|No*|V*,True,False,,,False
V363 Sgr,V363 Sgr,V363 Sgr,NOVA Sgr 1927|V363 Sgr,1927-09-30,No*|V*,True,False,,,False
XX Tau,XX Tau,XX Tau,Gaia DR2 3394342581362155520|SDSS J051924.46+164300.3|Gaia DR3 3394342581362155520|AAVSO 0513+16|AN  100.1927|NOVA Tau 1927|XX Tau,1927-11-18,*|CV*|No*|Opt|V*,True,False,,,False
KP Sco,KP Sco,KP Sco,AAVSO 1737-35|NOVA Sco 1928|SV* HV  4716|KP Sco,1928-06-21,No*|V*,True,False,,,False
